,EC,KEGG Rid,R string,Keq
0,3.1.3.104,,,
1,3.2.2.4,R00182,,1377.094108457392
2,2.8.1.-,,,
3,1.3.5.1,R02164,,17031.36077352121
4,1.8.4.-,,,
5,2.2.1.6,R08648,,1611.9619684471538
6,2.5.1.47,R04859,,306709802.7507558
7,2.7.7.7,R00378,,
8,1.8.1.2,R00858,,5.902787476017572e-20
9,6.3.3.1,R04208,,0.0896960726800469
10,2.1.2.-,R01775,,0.000391345187661098
11,1.1.1.3,R01775,,0.000391345187661098
12,3.4.16.4,,,
13,3.1.4.16,R05135,,595879.3369083873
14,2.1.1.170,,,
15,2.2.1.6,R08648,,1611.9619684471538
16,3.5.1.-,R02777,,5.311442282495572
17,1.1.1.133,R02777,,5.311442282495572
18,1.1.1.-,R01078,,
19,2.8.1.6,R01078,,
20,2.5.1.90,R09248,,1.6130225470587268e+71
21,1.-.-.-,R04993,,2905041.329282209
22,2.1.1.163,R04993,,2905041.329282209
23,2.4.1.25,,,
24,3.6.5.-,,,
25,5.4.2.11,,,
26,2.7.7.38,R03351,,5.329129420523432e-41
27,2.1.1.172,R07234,,31836644.79782708
28,2.4.2.19,R03348,,2.8373908366182075e-05
29,2.1.1.191,,,
30,2.1.1.185,,,
31,2.7.2.11,R00239,,8.730948996109373e-06
32,2.1.2.11,R01216,,0.00045306709258923845
33,1.8.4.8,R02021,,31680601.65273491
34,4.3.2.10,,,
35,2.1.1.298,,,
36,1.16.3.1,R00078,,3722541.026089748
37,2.5.1.19,R03460,,773.4091826195146
38,1.17.1.8,,,
39,2.7.1.12,R01737,,155.0758749150638
40,3.1.3.5,R02102,,199.88144703333398
41,4.2.3.3,R01016,,27995049754.501617
42,3.1.3.45,R03350,,119.41865203687959
43,2.7.1.35,R02493,,625.115344079102
44,5.2.1.8,R04273,,1.0
45,3.5.2.3,R01993,,18.951393281470356
46,5.1.99.7,,,
47,2.6.1.9,R00734,,0.8591956102112979
48,1.4.99.-,,,
49,4.2.3.5,R01714,,96861033.34091416
50,3.1.1.29,R04238,,1.0
51,3.1.-.-,,,
52,1.3.1.98,,,
53,3.1.3.10,R00947,,418.9606523023835
54,6.3.2.4,R01150,,79670.0205918277
55,2.3.1.191,,,
56,6.3.2.8,R03193,,219851.96538580404
57,5.4.99.25,,,
58,2.1.1.186,,,
59,2.8.4.4,,,
60,2.7.7.38,R03351,,5.329129420523432e-41
61,2.1.1.33,R00600,,31836644.79782708
62,4.3.1.17,R08698,,16435.19273313509
63,3.1.3.7,R00508,,139.06657561108884
64,2.1.1.198,,,
65,3.1.11.6,,,
66,2.7.7.4,R04929,,1.8543287415513632
67,1.17.4.2,R02023,,3.110487175045489e-08
68,2.7.7.9,R00289,,1.5971005126830027
69,2.1.1.-,R06137,,1.0
70,3.5.4.13,R06137,,1.0
71,3.1.3.-,R01157,,18616491957.531113
72,3.5.3.11,R01157,,18616491957.531113
73,1.6.5.9,R02163,,3.771213393937312e-15
74,1.1.1.28,R00704,,0.0002419607076574943
75,4.1.1.11,R00489,,913.8662299094832
76,2.1.3.2,R01397,,8677.89182760907
77,3.1.21.3,,,
78,1.1.1.284,R07140,,476736.88311806857
79,3.5.4.16,R05048,,51.28425157959845
80,2.1.1.200,,,
81,3.4.24.-,,,
82,4.1.99.12,R07281,,2889427649615113.5
83,3.1.26.12,,,
84,1.2.1.11,R02291,,17499.387487988108
85,3.2.2.3,R01080,,186.68354669710627
86,3.1.3.23,R00804,,1.0
87,3.4.19.5,,,
88,2.1.3.2,R01397,,8677.89182760907
89,2.7.4.9,R02098,,0.700117564188498
90,4.2.1.126,R08555,,3.5102990220937524
91,2.8.1.8,R07768,,1012817559044292.5
92,5.3.4.1,,,
93,2.6.1.57,R07396,,0.01503060856645103
94,2.7.3.9,R02628,,0.305991647576354
95,3.6.1.-,,,
96,7.1.2.2,,,
97,3.4.24.-,,,
98,6.3.2.10,R04617,,586354.5206201576
99,1.2.1.38,R03443,,0.16381233744556442
100,1.6.5.10,,,
101,1.8.4.14,R02025,,0.8082668900487494
102,4.1.2.4,R01066,,0.0002799411494272012
103,5.1.3.13,R06514,,499.62072019484367
104,3.1.3.-,R03293,,1.7688244716480955e-08
105,1.5.1.2,R03293,,1.7688244716480955e-08
106,6.3.2.45,,,
107,1.17.7.4,,,
108,6.3.2.12,R01654,,4276290.628232521
109,6.3.2.9,R02783,,594860.3998781163
110,1.1.1.23,R03012,,0.0004357042889015089
111,3.2.1.86,R05134,,2.1351360226543543e-05
112,7.1.1.-,,,
113,2.7.7.24,R02328,,0.47816027736959205
114,2.4.2.10,R08231,,321658.41758967337
115,4.2.3.1,R05086,,394.0986821009111
116,2.6.99.2,R05838,,7.293864343704477e+38
117,2.10.1.1,,,
118,4.1.1.37,R04972,,8547.95870979136
119,2.4.2.1,R02748,,0.03722605366220618
120,1.1.1.1,R07105,,9.040725024778084e-09
121,2.5.1.18,R09409,,0.9846469626159428
122,2.5.1.61,R00084,,1.5056331874048712e+23
123,5.1.1.1,R00401,,1.0166763635463343
124,5.2.1.8,R04273,,1.0
125,6.3.1.-,,,
126,2.8.1.1,R01931,,257937667.97835764
127,1.8.4.12,R07607,,0.7867174994914853
128,6.3.2.13,R02788,,18874.6199318106
129,3.4.24.-,,,
130,1.20.4.1,R05747,,9.367321750398543e-09
131,3.6.1.23,R02100,,24533372.051679984
132,1.5.3.2,R01264,,1.0001835929271774
133,2.6.1.33,R02772,,0.0077854747589090004
134,3.1.21.3,,,
135,7.1.2.2,,,
136,6.4.1.2,R04386,,1425881370.8198898
137,2.5.1.16,R08359,,0.8128170837350515
138,2.7.4.22,R00158,,1.266669110202932
139,3.6.4.13,R00086,,156963.70380808422
140,6.3.5.4,R00578,,10352563.000430835
141,3.1.11.2,,,
142,2.4.2.17,R01071,,7.594455310087071e-10
143,5.3.1.8,R01819,,0.2768045519043057
144,2.1.1.45,R02101,,86372496.21402815
145,6.3.4.13,R04144,,59279.60235340042
146,3.4.24.-,,,
147,3.1.2.6,R01736,,904979.0061266806
148,2.7.2.8,R02649,,4.746778911317635e-05
149,1.1.1.95,R08198,,0.0006423110165387086
150,3.4.11.9,,,
151,1.1.1.2,R05231,,0.0008143234289870622
152,2.5.1.9,R00066,,9.48173683702997e+16
153,2.4.2.22,R01229,,2.28478659905664e-06
154,1.5.1.41,,,
155,1.2.1.41,R03313,,0.046095697534659925
156,1.7.1.7,R01134,,2.0608977512716558e+45
157,1.17.4.1,R08364,,1.014478016283064
158,4.1.3.36,R07263,,74946881385573.58
159,4.1.2.40,R01069,,0.00013655148818834327
160,5.4.2.12,,,
161,1.2.1.8,R02566,,27419135.430975474
162,4.98.1.1,,,
163,2.4.2.7,R04378,,6.115511152692362e-08
164,5.1.3.1,R01529,,3.9255303350869197
165,3.1.3.11,R01845,,195.33577279060992
166,3.4.11.1,R04951,,31780113.395154215
167,5.3.1.9,R02739,,1.6981781019990725
168,2.7.1.167,,,
169,3.5.1.88,R05635,,60986861.03309541
170,3.1.3.15,R03013,,3606.9600387819305
171,3.2.1.21,R06104,,
172,6.3.2.6,R04591,,37590569351692.6
173,1.8.1.2,R00858,,5.902787476017572e-20
174,6.3.5.3,R04463,,7.560961992765866e-06
175,7.1.2.2,,,
176,1.6.5.9,R02163,,3.771213393937312e-15
177,4.1.3.3,R01811,,0.04483464753112747
178,2.3.1.-,,,
179,5.1.3.29,,,
180,5.3.1.16,R04640,,51.70530205530967
181,4.1.1.23,R00965,,9520.998501772745
182,2.1.1.14,R09365,,0.9955872611461931
183,1.8.1.7,R00094,,0.0061965304840872855
184,2.6.1.11,R02283,,3.672817440451717
185,6.3.2.2,R00894,,1470866.8699163615
186,5.6.2.1,,,
187,3.4.15.5,,,
188,3.6.4.-,,,
189,4.3.1.19,R06131,,1.0
190,5.6.2.2,,,
191,2.5.1.7,R00660,,388.98503953382993
192,1.1.1.38,R00217,,334.01924106052337
193,1.1.1.60,R01747,,6.074207227829519e-06
194,6.4.1.2,R04386,,1425881370.8198898
195,3.2.1.23,R07807,,
196,1.11.1.24,,,
197,3.6.5.n1,,,
198,2.4.2.8,R08245,,47105253.07715516
199,2.4.1.1,R06185,,
200,4.3.1.17,R08698,,16435.19273313509
201,4.2.1.3,R01900,,0.5193954678097826
202,2.4.2.9,R00966,,0.00019001120721148708
203,3.1.4.46,R01470,,4.985072129644562e+43
204,1.6.5.9,R02163,,3.771213393937312e-15
205,1.1.1.298,R09289,,0.00026439429974536757
206,6.3.2.3,R00497,,236541.19850465914
207,1.5.1.38,,,
208,2.5.1.54,R01826,,10787074119776.988
209,2.2.1.6,R08648,,1611.9619684471538
210,3.4.25.2,,,
211,3.9.1.-,,,
212,3.2.2.16,R01401,,301.6564145566647
213,7.6.2.-,,,
214,1.1.1.305,R07658,,86.46840105572971
215,3.5.1.16,R09107,,57872.09060088128
216,1.1.1.100,R07763,,2.1766414023542955e-09
217,4.2.1.46,R06513,,214962036.37499774
218,5.4.2.7,R02749,,48670.930060409206
219,2.8.4.3,,,
220,5.1.3.-,R04273,,1.0
221,5.2.1.8,R04273,,1.0
222,1.3.5.1,R02164,,17031.36077352121
223,4.1.3.1,R00479,,0.021305645878763865
224,3.1.3.25,R01187,,10261.354703487483
225,2.7.7.6,R00443,,
226,1.2.1.-,R00036,,1.3911393603370322e+18
227,4.2.1.24,R00036,,1.3911393603370322e+18
228,3.5.1.10,R00944,,67127.99099289929
229,4.3.2.2,R04559,,6.52282378833641e-05
230,2.7.1.11,R03239,,8290.639412068638
231,6.1.1.16,R03650,,
232,5.3.1.25,R03163,,0.11042039282108634
233,4.2.1.-,R07659,,2.0969408363842583e-06
234,2.6.1.87,R07659,,2.0969408363842583e-06
235,6.1.1.14,R03654,,440391682.63073426
236,5.3.1.6,R01056,,0.4214285151704329
237,4.1.2.14,R00471,,0.001083095101461444
238,4.1.1.19,R00566,,2.245111603581841
239,5.2.1.8,R04273,,1.0
240,2.1.2.3,R01127,,0.00036835383275742484
241,1.17.7.1,R08689,,
242,5.4.2.10,R02060,,3.547107440669944
243,2.7.1.71,R02412,,39377.996257594365
244,2.7.7.7,R00378,,
245,1.2.1.11,R02291,,17499.387487988108
246,3.1.13.1,,,
247,3.4.11.18,,,
248,6.3.2.4,R01150,,79670.0205918277
249,3.4.21.107,,,
250,6.3.1.5,R00189,,13763.195586923037
251,6.1.1.2,R03664,,14.843150099132364
252,2.3.1.180,R04968,,1.0
253,3.4.21.92,,,
254,4.4.1.21,R01291,,543.1334312736375
255,3.4.11.23,R04951,,31780113.395154215
256,5.2.1.8,R04273,,1.0
257,4.3.3.7,,,
258,3.4.21.92,,,
259,4.2.1.59,R04537,,1.0
260,2.4.2.3,R08229,,1581.6511725124642
261,1.1.1.251,R05571,,0.005274903800586293
262,5.6.2.2,,,
263,6.1.1.6,R03658,,476562035.1463551
264,1.1.1.103,R01465,,0.0001321310186728884
265,2.3.1.39,R01626,,5.899153641127439e-10
266,3.6.1.1,R00004,,766.7600310516447
267,5.3.1.28,R05645,,0.40723616079211356
268,1.16.3.2,,,
269,1.5.1.34,R01794,,6.109605683746286e-10
270,6.1.1.19,R03646,,5.127300741020482e-07
271,1.15.1.1,R00275,,2.6509372441547034e-16
272,3.4.13.9,,,
273,5.1.3.20,R05176,,1.0
274,2.5.1.78,R04457,,2.0433542722999306e+17
275,2.4.2.1,R02748,,0.03722605366220618
276,2.7.2.1,R01353,,1.6234889088636884e-06
277,2.1.2.10,R02300,,66229045.698803164
278,2.6.1.42,R02199,,10.938692502282375
279,7.1.1.-,,,
280,5.4.3.8,R02272,,0.023297404020494097
281,2.6.1.52,R05085,,70.18857681720405
282,2.3.1.29,R00371,,1.7723810792894896e-06
283,7.4.2.1,,,
284,5.2.1.8,R04273,,1.0
285,6.1.1.18,R03652,,14.97376680584699
286,5.4.2.2,R03319,,41.578427223885676
287,6.3.4.5,R01954,,5.7153927441859125
288,2.5.1.55,R03254,,5.302753153084905e-13
289,1.8.1.9,R09372,,7.814887661647611e-26
290,3.4.11.2,R04951,,31780113.395154215
291,2.7.7.8,R00440,,0.0
292,5.3.1.1,R01015,,9.654158192504244
293,2.7.1.199,,,
294,2.7.6.1,R01049,,3.934228631415145
295,6.2.1.1,R01354,,722389.0115068445
296,4.3.2.1,R01086,,0.009388648194981343
297,1.1.1.40,R00217,,334.01924106052337
298,1.15.1.1,R00275,,2.6509372441547034e-16
299,2.7.4.6,R03530,,0.09121794745722148
300,6.1.1.6,R03658,,476562035.1463551
301,3.4.24.70,,,
302,3.2.1.93,R06113,,
303,6.3.5.2,R08244,,9.447439102779857e+22
304,6.3.1.2,R00253,,479.9769341384216
305,2.3.1.41,R07762,,1.0
306,1.6.1.1,R00112,,1.0008657572025301
307,6.3.5.5,R07641,,1.3219907748970883
308,1.11.1.-,R02918,,443462377.02172846
309,6.1.1.1,R02918,,443462377.02172846
310,7.4.2.-,,,
311,6.3.4.14,R04385,,0.10032087840030673
312,6.1.1.10,R04773,,
313,6.1.1.21,R03655,,1.5937174474318917e-07
314,6.1.1.22,R03648,,14.95079058178934
315,4.1.99.1,R00673,,0.00025477903553073803
316,7.5.2.1,,,
317,6.1.1.20,R03660,,451770156.4712802
318,7.4.2.1,,,
319,6.1.1.3,R03663,,435365134.6296619
320,4.2.1.9,R05070,,2971833.392132661
321,2.7.1.40,R02320,,3.268063059631294
322,1.1.1.205,R08240,,138351033.89558566
323,6.1.1.9,R03665,,454890308.87019193
324,3.2.1.22,R06152,,
325,5.4.2.11,,,
326,2.3.1.8,R00921,,0.00023954653771310122
327,2.7.1.40,R02320,,3.268063059631294
328,3.4.13.18,R01992,,2.7629281651065565
329,6.1.1.17,R05578,,7.334121443753834
330,7.1.2.2,,,
331,2.5.1.6,R04771,,532103272.7187318
332,2.6.1.16,R00768,,552.6181622052508
333,6.3.4.2,R00573,,4729.3650448391745
334,3.4.25.2,,,
335,2.7.4.3,R01547,,0.2662237290499538
336,4.1.2.13,R02568,,8.493038158429194e-06
337,7.1.2.2,,,
338,1.4.4.2,R01221,,0.00014118454869627972
339,2.7.3.9,R02628,,0.305991647576354
340,2.3.1.117,R04365,,2.7488442099920476e-05
341,6.1.1.14,R03654,,440391682.63073426
342,4.1.1.31,R00345,,8.730133459842129e-08
343,2.7.1.30,R00847,,830.2705171814601
344,6.1.1.4,R03657,,453471582.05495095
345,6.1.1.-,,,
346,1.11.1.21,R03532,,0.9998164407729985
347,1.3.1.9,R04429,,108572130.49676685
348,6.3.4.4,R01135,,1.2602971325759993
349,6.1.1.11,R08218,,431048633.23298717
350,2.6.1.1,R05052,,43.371047462151346
351,1.1.1.44,R01528,,0.015561115470159889
352,2.8.1.7,R07460,,
353,4.3.1.1,R00490,,0.004908339669086742
354,6.2.1.5,R02404,,6.495746321416216
355,2.3.3.16,,,
356,6.1.1.20,R03660,,451770156.4712802
357,5.2.1.8,R04273,,1.0
358,4.2.1.2,R01082,,0.25101855338099716
359,2.1.2.1,R09099,,33.9072014058265
360,4.1.1.49,R00341,,0.013703140825955655
361,2.3.1.61,R08549,,88228.45482994754
362,2.7.9.2,R00199,,7.370111364902889
363,6.1.1.5,R03656,,454365772.69235075
364,1.11.1.26,,,
365,6.1.1.15,R03661,,461601565.91563106
366,2.2.1.2,R01827,,0.25165152267225105
367,2.7.7.6,R00443,,
368,1.1.1.37,R00342,,2.2614869409243306e-05
369,2.5.1.47,R04859,,306709802.7507558
370,1.1.1.86,R05071,,0.9999286019875846
371,2.3.1.12,R00209,,998855.9306379288
372,2.2.1.1,R06863,,0.1356822249705415
373,4.2.1.11,R04206,,9.405334227719045
374,6.1.1.7,R03038,,452718794.80515987
375,2.7.2.3,R01512,,0.000374269070996439
376,6.2.1.5,R02404,,6.495746321416216
377,1.8.1.4,R08549,,88228.45482994754
378,6.3.5.5,R07641,,1.3219907748970883
379,5.2.1.8,R04273,,1.0
380,1.2.4.1,R03270,,0.9998295966164898
381,1.2.1.12,R01061,,0.625512213354187
382,2.7.7.6,R00443,,
383,1.2.4.2,R08549,,88228.45482994754
384,2.7.7.6,R00443,,
385,4.2.1.3,R01900,,0.5193954678097826
